epoch,loss,r2_2,val_loss,val_r2_2
0,0.8718812051346656,0.12808155,0.6923890920076969,0.31544065
1,0.39572554599579723,0.6023726,0.2568943309035278,0.7491656
2,0.2776597196209258,0.72036326,0.29343669238873726,0.71084875
3,0.2630274032337078,0.7352126,0.28027439995664327,0.7173022
4,0.22805846010205313,0.7717854,0.24145481292752252,0.7636615
5,0.23048317789135603,0.76871073,0.246920352468744,0.7550367
6,0.21706602660018273,0.78443754,0.25437006109578597,0.7471184
7,0.20832638022796288,0.79223514,0.2286882453782547,0.7788738
8,0.20744648730953213,0.79078615,0.3236535737191997,0.68091774
9,0.20725652707067793,0.793105,0.23482930437090316,0.76721203
10,0.1947414589724871,0.8043268,0.2508438939345632,0.75741047
11,0.19543691035470076,0.80466545,0.2160126766288914,0.78828657
12,0.19025047460168007,0.80962044,0.2140086144928771,0.78664017
13,0.1906945719251182,0.80968255,0.21160385905256593,0.7920151
14,0.1878913338313612,0.8105473,0.2177439499736408,0.7853064
15,0.19754055297573087,0.80273205,0.19878156101646055,0.8059254
16,0.18973298519609824,0.80947113,0.18650230542185225,0.81686497
17,0.16849167920924998,0.8303549,0.18798084103542825,0.8118953
18,0.1671057213347763,0.8328075,0.18258714553526634,0.81843174
19,0.15559171856457485,0.8445409,0.20554147581547355,0.7926785
20,0.16178324199529084,0.83820045,0.1718652480898272,0.83076864
21,0.14635887992794772,0.85502774,0.17132020997252442,0.8300081
22,0.15268709744520234,0.8466494,0.17801854547095183,0.82548183
23,0.15904689933334828,0.84064966,0.14989507756227458,0.8553308
24,0.13432798926757025,0.8657665,0.13789478847801973,0.8647241
25,0.1307233776047354,0.8684908,0.14105083159922402,0.86046624
26,0.13193752255912627,0.8685876,0.16255067015327693,0.8397357
27,0.11598664520771287,0.8846462,0.13944064296674039,0.86302024
28,0.1280919445445636,0.8721056,0.11079335569039635,0.8937419
29,0.11463393324159257,0.8848498,0.15240014146491526,0.8514772
30,0.11577256814533193,0.88441074,0.08074735702523862,0.92245674
31,0.0946117278130478,0.90562993,0.12156542768512947,0.88213086
32,0.09443749487000132,0.9053527,0.14518394094446432,0.8581824
33,0.09794689838485057,0.90166223,0.07560584836320025,0.9262372
34,0.09225182625566576,0.9071058,0.0926723230432197,0.91017544
35,0.10273958345494216,0.89664274,0.06792502450770226,0.9320576
36,0.08578785946787651,0.9133161,0.15824857642109266,0.84427893
37,0.09435741053479241,0.9049785,0.11122484731933345,0.88913757
38,0.07594641582001554,0.92458314,0.06586952017989135,0.9351813
39,0.0817403363496849,0.9180024,0.08956273882717326,0.91241896
40,0.08221941516283246,0.9175134,0.14479956250403814,0.8590742
41,0.09533529081374359,0.9043082,0.13795342731878954,0.8621305
42,0.08362755897068491,0.91650915,0.12181482881595547,0.8802521
43,0.08206381487209696,0.9184389,0.10943966582057557,0.88744366
44,0.08640741394913715,0.9133857,0.09391048694578345,0.90708315
45,0.0837615218995338,0.9147547,0.1130971113120876,0.88887334
46,0.07906717426427033,0.9208307,0.0934081426349239,0.9067603
47,0.09029456041853273,0.90909356,0.058166015335327184,0.9437793
48,0.07670466280709783,0.9230182,0.15414683168061113,0.848488
49,0.07085748271985651,0.9291239,0.06654336720992977,0.933488
50,0.06599731327015036,0.9334945,0.07461613834192211,0.9257306
51,0.08859704685623904,0.91089135,0.0966709684850513,0.90549684
52,0.06904319468615712,0.93091244,0.07788539854224753,0.92314
53,0.06920897380273411,0.9301951,0.1020982975617123,0.90072834
54,0.0729858906948624,0.9267459,0.04598412880503037,0.9550723
55,0.05787518652085009,0.94199556,0.04347057013372004,0.95702624
56,0.07165533668245126,0.92879575,0.08440785595904225,0.91751075
57,0.07293743540003488,0.92643917,0.07346821975880775,0.9287194
58,0.06576353359529553,0.93409103,0.15553002419391115,0.84480774
59,0.09052218731754708,0.9092849,0.1292455710362697,0.872786
60,0.06883776668205226,0.930975,0.09763173816572641,0.9035602
61,0.06801027786216618,0.93322194,0.034913867019152875,0.96547323
62,0.055364325851545944,0.94442207,0.034167729363133365,0.9662554
63,0.0734151696993245,0.92719746,0.054528641833919256,0.9463662
64,0.05160523015231902,0.9472552,0.1224446350681609,0.87814623
65,0.07191104900393828,0.9284049,0.10244797526494316,0.8997692
66,0.057961137534403635,0.94241065,0.025250599877053987,0.9752242
67,0.04424524831751055,0.95559764,0.04139197941707528,0.9586043
68,0.05382426347237598,0.94668776,0.14213681710515044,0.8616906
69,0.06520542102479449,0.93412316,0.051559761094586286,0.95004207
70,0.04292840607088385,0.956663,0.025316445273909593,0.9750474
71,0.068919896579563,0.9304677,0.06040972838367241,0.9411527
72,0.07752542124518258,0.922091,0.06557817803920755,0.9344496
73,0.05293063673836149,0.94696873,0.11338444788386856,0.8882059
74,0.04716184490944708,0.9532367,0.057237802136347486,0.94134986
75,0.03887377906204774,0.9607936,0.03715138490073347,0.96325463
76,0.06037033527141704,0.9397504,0.025383448241737442,0.97535795
